MeV,eV,flux,error
1.40E-04,1.40E+02,1.66E-06,0.0028
1.43E-04,1.43E+02,1.65E-06,0.0028
1.47E-04,1.47E+02,1.62E-06,0.0028
1.51E-04,1.51E+02,1.66E-06,0.0028
1.55E-04,1.55E+02,1.65E-06,0.0028
1.59E-04,1.59E+02,1.66E-06,0.0028
1.63E-04,1.63E+02,1.64E-06,0.0028
1.68E-04,1.68E+02,1.62E-06,0.0028
1.72E-04,1.72E+02,1.66E-06,0.0028
1.77E-04,1.77E+02,1.65E-06,0.0028
1.82E-04,1.82E+02,1.65E-06,0.0028
1.86E-04,1.86E+02,1.69E-06,0.0028
1.91E-04,1.91E+02,1.66E-06,0.0028
1.97E-04,1.97E+02,1.59E-06,0.0028
2.02E-04,2.02E+02,1.63E-06,0.0028
2.07E-04,2.07E+02,1.67E-06,0.0028
2.13E-04,2.13E+02,1.61E-06,0.0028
2.18E-04,2.18E+02,1.66E-06,0.0028
2.24E-04,2.24E+02,1.66E-06,0.0028
2.30E-04,2.30E+02,1.66E-06,0.0028
2.36E-04,2.36E+02,1.67E-06,0.0028
2.43E-04,2.43E+02,1.63E-06,0.0028
2.49E-04,2.49E+02,1.67E-06,0.0028
2.56E-04,2.56E+02,1.67E-06,0.0028
2.63E-04,2.63E+02,1.67E-06,0.0028
2.70E-04,2.70E+02,1.66E-06,0.0028
2.77E-04,2.77E+02,1.65E-06,0.0028
2.84E-04,2.84E+02,1.67E-06,0.0028
2.92E-04,2.92E+02,1.66E-06,0.0028
2.99E-04,2.99E+02,1.67E-06,0.0028
3.07E-04,3.07E+02,1.69E-06,0.0028
3.16E-04,3.16E+02,1.67E-06,0.0028
3.24E-04,3.24E+02,1.68E-06,0.0028
3.33E-04,3.33E+02,1.68E-06,0.0028
3.42E-04,3.42E+02,1.67E-06,0.0028
3.51E-04,3.51E+02,1.69E-06,0.0028
3.60E-04,3.60E+02,1.67E-06,0.0028
3.70E-04,3.70E+02,1.69E-06,0.0028
3.80E-04,3.80E+02,1.68E-06,0.0028
3.90E-04,3.90E+02,1.69E-06,0.0028
4.00E-04,4.00E+02,1.67E-06,0.0028
4.11E-04,4.11E+02,1.68E-06,0.0028
4.22E-04,4.22E+02,1.68E-06,0.0028
4.33E-04,4.33E+02,1.69E-06,0.0028
4.44E-04,4.44E+02,1.67E-06,0.0028
4.56E-04,4.56E+02,1.69E-06,0.0028
4.69E-04,4.69E+02,1.68E-06,0.0028
4.81E-04,4.81E+02,1.68E-06,0.0028
4.94E-04,4.94E+02,1.69E-06,0.0028
5.07E-04,5.07E+02,1.69E-06,0.0028
5.21E-04,5.21E+02,1.69E-06,0.0028
5.34E-04,5.34E+02,1.71E-06,0.0028
5.49E-04,5.49E+02,1.67E-06,0.0028
5.63E-04,5.63E+02,1.70E-06,0.0028
5.78E-04,5.78E+02,1.71E-06,0.0028
5.94E-04,5.94E+02,1.71E-06,0.0028
6.10E-04,6.10E+02,1.66E-06,0.0028
6.26E-04,6.26E+02,1.68E-06,0.0028
6.43E-04,6.43E+02,1.69E-06,0.0028
6.60E-04,6.60E+02,1.75E-06,0.0028
6.77E-04,6.77E+02,1.66E-06,0.0028
6.95E-04,6.95E+02,1.69E-06,0.0028
7.14E-04,7.14E+02,1.68E-06,0.0028
7.33E-04,7.33E+02,1.70E-06,0.0028
7.52E-04,7.52E+02,1.71E-06,0.0028
7.73E-04,7.73E+02,1.70E-06,0.0028
7.93E-04,7.93E+02,1.69E-06,0.0028
8.14E-04,8.14E+02,1.72E-06,0.0028
8.36E-04,8.36E+02,1.70E-06,0.0028
8.58E-04,8.58E+02,1.71E-06,0.0028
8.81E-04,8.81E+02,1.70E-06,0.0028
9.05E-04,9.05E+02,1.72E-06,0.0028
9.29E-04,9.29E+02,1.69E-06,0.0028
9.54E-04,9.54E+02,1.73E-06,0.0028
9.79E-04,9.79E+02,1.70E-06,0.0028
1.01E-03,1.01E+03,1.74E-06,0.0028
1.03E-03,1.03E+03,1.69E-06,0.0028
1.06E-03,1.06E+03,1.72E-06,0.0028
1.09E-03,1.09E+03,1.70E-06,0.0028
1.12E-03,1.12E+03,1.69E-06,0.0028
1.15E-03,1.15E+03,1.73E-06,0.0028
1.18E-03,1.18E+03,1.71E-06,0.0028
1.21E-03,1.21E+03,1.70E-06,0.0028
1.24E-03,1.24E+03,1.74E-06,0.0028
1.27E-03,1.27E+03,1.70E-06,0.0028
1.31E-03,1.31E+03,1.72E-06,0.0028
1.34E-03,1.34E+03,1.73E-06,0.0028
1.38E-03,1.38E+03,1.74E-06,0.0028
1.42E-03,1.42E+03,1.73E-06,0.0028
1.45E-03,1.45E+03,1.71E-06,0.0028
1.49E-03,1.49E+03,1.73E-06,0.0028
1.53E-03,1.53E+03,1.74E-06,0.0028
1.57E-03,1.57E+03,1.71E-06,0.0028
1.61E-03,1.61E+03,1.75E-06,0.0028
1.66E-03,1.66E+03,1.73E-06,0.0028
1.70E-03,1.70E+03,1.72E-06,0.0028
1.75E-03,1.75E+03,1.72E-06,0.0028
1.79E-03,1.79E+03,1.76E-06,0.0028
1.84E-03,1.84E+03,1.72E-06,0.0028
1.89E-03,1.89E+03,1.72E-06,0.0028
1.94E-03,1.94E+03,1.72E-06,0.0028
1.99E-03,1.99E+03,1.77E-06,0.0028
2.05E-03,2.05E+03,1.72E-06,0.0028
2.10E-03,2.10E+03,1.72E-06,0.0028
2.16E-03,2.16E+03,1.75E-06,0.0028
2.21E-03,2.21E+03,1.74E-06,0.0028
2.27E-03,2.27E+03,1.74E-06,0.0028
2.33E-03,2.33E+03,1.72E-06,0.0028
2.40E-03,2.40E+03,1.72E-06,0.0028
2.46E-03,2.46E+03,1.74E-06,0.0028
2.53E-03,2.53E+03,1.74E-06,0.0028
2.59E-03,2.59E+03,1.79E-06,0.0028
2.66E-03,2.66E+03,1.72E-06,0.0028
2.73E-03,2.73E+03,1.74E-06,0.0028
2.81E-03,2.81E+03,1.73E-06,0.0028
2.88E-03,2.88E+03,1.79E-06,0.0028
2.96E-03,2.96E+03,1.72E-06,0.0028
3.04E-03,3.04E+03,1.75E-06,0.0028
3.12E-03,3.12E+03,1.75E-06,0.0028
3.20E-03,3.20E+03,1.75E-06,0.0028
3.29E-03,3.29E+03,1.74E-06,0.0028
3.37E-03,3.37E+03,1.74E-06,0.0028
3.46E-03,3.46E+03,1.78E-06,0.0028
3.56E-03,3.56E+03,1.76E-06,0.0028
3.65E-03,3.65E+03,1.75E-06,0.0028
3.75E-03,3.75E+03,1.76E-06,0.0028
3.85E-03,3.85E+03,1.78E-06,0.0028
3.95E-03,3.95E+03,1.75E-06,0.0028
4.06E-03,4.06E+03,1.76E-06,0.0028
4.17E-03,4.17E+03,1.77E-06,0.0028
4.28E-03,4.28E+03,1.76E-06,0.0028
4.39E-03,4.39E+03,1.76E-06,0.0028
4.51E-03,4.51E+03,1.79E-06,0.0028
4.63E-03,4.63E+03,1.76E-06,0.0028
4.75E-03,4.75E+03,1.77E-06,0.0028
4.88E-03,4.88E+03,1.78E-06,0.0028
5.01E-03,5.01E+03,1.77E-06,0.0028
5.14E-03,5.14E+03,1.77E-06,0.0028
5.28E-03,5.28E+03,1.77E-06,0.0028
5.42E-03,5.42E+03,1.78E-06,0.0028
5.56E-03,5.56E+03,1.77E-06,0.0028
5.71E-03,5.71E+03,1.78E-06,0.0028
5.87E-03,5.87E+03,1.77E-06,0.0028
6.02E-03,6.02E+03,1.78E-06,0.0028
6.18E-03,6.18E+03,1.80E-06,0.0028
6.35E-03,6.35E+03,1.76E-06,0.0028
6.52E-03,6.52E+03,1.79E-06,0.0028
6.69E-03,6.69E+03,1.79E-06,0.0028
6.87E-03,6.87E+03,1.80E-06,0.0028
7.05E-03,7.05E+03,1.78E-06,0.0028
7.24E-03,7.24E+03,1.79E-06,0.0028
7.43E-03,7.43E+03,1.79E-06,0.0028
7.63E-03,7.63E+03,1.79E-06,0.0028
7.83E-03,7.83E+03,1.79E-06,0.0028
8.04E-03,8.04E+03,1.81E-06,0.0028
8.26E-03,8.26E+03,1.80E-06,0.0028
8.48E-03,8.48E+03,1.79E-06,0.0028
8.70E-03,8.70E+03,1.81E-06,0.0028
8.94E-03,8.94E+03,1.80E-06,0.0028
9.18E-03,9.18E+03,1.80E-06,0.0028
9.42E-03,9.42E+03,1.81E-06,0.0028
9.67E-03,9.67E+03,1.80E-06,0.0028
9.93E-03,9.93E+03,1.81E-06,0.0028
1.02E-02,1.02E+04,1.81E-06,0.0028
1.05E-02,1.05E+04,1.81E-06,0.0028
1.07E-02,1.07E+04,1.81E-06,0.0028
1.10E-02,1.10E+04,1.81E-06,0.0028
1.13E-02,1.13E+04,1.81E-06,0.0028
1.16E-02,1.16E+04,1.82E-06,0.0028
1.19E-02,1.19E+04,1.82E-06,0.0028
1.23E-02,1.23E+04,1.83E-06,0.0028
1.26E-02,1.26E+04,1.82E-06,0.0028
1.29E-02,1.29E+04,1.83E-06,0.0028
1.33E-02,1.33E+04,1.82E-06,0.0028
1.36E-02,1.36E+04,1.82E-06,0.0028
1.40E-02,1.40E+04,1.83E-06,0.0028
1.44E-02,1.44E+04,1.82E-06,0.0028
1.47E-02,1.47E+04,1.83E-06,0.0028
1.51E-02,1.51E+04,1.84E-06,0.0028
1.55E-02,1.55E+04,1.83E-06,0.0028
1.59E-02,1.59E+04,1.84E-06,0.0028
1.64E-02,1.64E+04,1.84E-06,0.0028
1.68E-02,1.68E+04,1.84E-06,0.0028
1.73E-02,1.73E+04,1.85E-06,0.0028
1.77E-02,1.77E+04,1.84E-06,0.0028
1.82E-02,1.82E+04,1.84E-06,0.0028
1.87E-02,1.87E+04,1.84E-06,0.0028
1.92E-02,1.92E+04,1.84E-06,0.0028
1.97E-02,1.97E+04,1.84E-06,0.0028
2.02E-02,2.02E+04,1.87E-06,0.0028
2.08E-02,2.08E+04,1.85E-06,0.0028
2.13E-02,2.13E+04,1.85E-06,0.0028
2.19E-02,2.19E+04,1.86E-06,0.0028
2.25E-02,2.25E+04,1.86E-06,0.0028
2.31E-02,2.31E+04,1.86E-06,0.0028
2.37E-02,2.37E+04,1.86E-06,0.0028
2.43E-02,2.43E+04,1.86E-06,0.0028
2.50E-02,2.50E+04,1.87E-06,0.0028
2.56E-02,2.56E+04,1.87E-06,0.0028
2.63E-02,2.63E+04,1.87E-06,0.0028
2.70E-02,2.70E+04,1.87E-06,0.0028
2.77E-02,2.77E+04,1.88E-06,0.0028
2.85E-02,2.85E+04,1.88E-06,0.0028
2.92E-02,2.92E+04,1.88E-06,0.0028
3.00E-02,3.00E+04,1.88E-06,0.0028
3.08E-02,3.08E+04,1.88E-06,0.0028
3.16E-02,3.16E+04,1.89E-06,0.0028
3.25E-02,3.25E+04,1.89E-06,0.0028
3.33E-02,3.33E+04,1.89E-06,0.0028
3.42E-02,3.42E+04,1.89E-06,0.0028
3.51E-02,3.51E+04,1.89E-06,0.0028
3.61E-02,3.61E+04,1.89E-06,0.0028
3.70E-02,3.70E+04,1.90E-06,0.0028
3.80E-02,3.80E+04,1.90E-06,0.0028
3.90E-02,3.90E+04,1.90E-06,0.0028
4.01E-02,4.01E+04,1.91E-06,0.0028
4.11E-02,4.11E+04,1.91E-06,0.0028
4.22E-02,4.22E+04,1.91E-06,0.0028
4.34E-02,4.34E+04,1.91E-06,0.0028
4.45E-02,4.45E+04,1.91E-06,0.0028
4.57E-02,4.57E+04,1.91E-06,0.0028
4.69E-02,4.69E+04,1.91E-06,0.0028
4.82E-02,4.82E+04,1.91E-06,0.0028
4.95E-02,4.95E+04,1.91E-06,0.0028
5.08E-02,5.08E+04,1.91E-06,0.0028
5.21E-02,5.21E+04,1.91E-06,0.0028
5.35E-02,5.35E+04,1.91E-06,0.0028
5.50E-02,5.50E+04,1.91E-06,0.0028
5.64E-02,5.64E+04,1.91E-06,0.0028
5.79E-02,5.79E+04,1.91E-06,0.0028
5.95E-02,5.95E+04,1.91E-06,0.0028
6.11E-02,6.11E+04,1.91E-06,0.0028
6.27E-02,6.27E+04,1.92E-06,0.0028
6.44E-02,6.44E+04,1.92E-06,0.0028
6.61E-02,6.61E+04,1.92E-06,0.0028
6.78E-02,6.78E+04,1.92E-06,0.0028
6.97E-02,6.97E+04,1.92E-06,0.0028
7.15E-02,7.15E+04,1.92E-06,0.0028
7.34E-02,7.34E+04,1.93E-06,0.0028
7.54E-02,7.54E+04,1.93E-06,0.0028
7.74E-02,7.74E+04,1.93E-06,0.0028
7.95E-02,7.95E+04,1.93E-06,0.0028
8.16E-02,8.16E+04,1.93E-06,0.0028
8.38E-02,8.38E+04,1.93E-06,0.0028
8.60E-02,8.60E+04,1.93E-06,0.0028
8.83E-02,8.83E+04,1.94E-06,0.0028
9.06E-02,9.06E+04,1.94E-06,0.0028
9.31E-02,9.31E+04,1.94E-06,0.0028
9.55E-02,9.55E+04,1.94E-06,0.0028
9.81E-02,9.81E+04,1.94E-06,0.0028
1.01E-01,1.01E+05,1.94E-06,0.0028
1.03E-01,1.03E+05,1.94E-06,0.0028
1.06E-01,1.06E+05,1.94E-06,0.0028
1.09E-01,1.09E+05,1.94E-06,0.0028
1.12E-01,1.12E+05,1.94E-06,0.0028
1.15E-01,1.15E+05,1.93E-06,0.0028
1.18E-01,1.18E+05,1.93E-06,0.0028
1.21E-01,1.21E+05,1.93E-06,0.0028
1.24E-01,1.24E+05,1.93E-06,0.0028
1.28E-01,1.28E+05,1.94E-06,0.0028
1.31E-01,1.31E+05,1.94E-06,0.0028
1.35E-01,1.35E+05,1.93E-06,0.0028
1.38E-01,1.38E+05,1.93E-06,0.0028
1.42E-01,1.42E+05,1.94E-06,0.0028
1.46E-01,1.46E+05,1.93E-06,0.0028
1.49E-01,1.49E+05,1.94E-06,0.0028
1.53E-01,1.53E+05,1.93E-06,0.0028
1.58E-01,1.58E+05,1.93E-06,0.0028
1.62E-01,1.62E+05,1.93E-06,0.0028
1.66E-01,1.66E+05,1.94E-06,0.0028
1.70E-01,1.70E+05,1.94E-06,0.0028
1.75E-01,1.75E+05,1.94E-06,0.0028
1.80E-01,1.80E+05,1.94E-06,0.0028
1.84E-01,1.84E+05,1.94E-06,0.0028
1.89E-01,1.89E+05,1.95E-06,0.0028
1.94E-01,1.94E+05,1.95E-06,0.0028
2.00E-01,2.00E+05,1.95E-06,0.0028
2.05E-01,2.05E+05,1.95E-06,0.0028
2.10E-01,2.10E+05,1.96E-06,0.0028
2.16E-01,2.16E+05,1.97E-06,0.0028
2.22E-01,2.22E+05,1.97E-06,0.0028
2.28E-01,2.28E+05,1.97E-06,0.0028
2.34E-01,2.34E+05,1.98E-06,0.0028
2.40E-01,2.40E+05,1.98E-06,0.0028
2.46E-01,2.46E+05,1.99E-06,0.0028
2.53E-01,2.53E+05,2.00E-06,0.0028
2.60E-01,2.60E+05,2.01E-06,0.0028
2.67E-01,2.67E+05,2.03E-06,0.0028
2.74E-01,2.74E+05,2.04E-06,0.0028
2.81E-01,2.81E+05,2.05E-06,0.0028
2.89E-01,2.89E+05,2.05E-06,0.0028
2.96E-01,2.96E+05,2.05E-06,0.0028
3.04E-01,3.04E+05,2.06E-06,0.0028
3.12E-01,3.12E+05,2.07E-06,0.0028
3.21E-01,3.21E+05,2.10E-06,0.0028
3.29E-01,3.29E+05,2.14E-06,0.0028
3.38E-01,3.38E+05,2.15E-06,0.0028
3.47E-01,3.47E+05,2.10E-06,0.0028
3.56E-01,3.56E+05,1.98E-06,0.0028
3.66E-01,3.66E+05,1.86E-06,0.0028
3.76E-01,3.76E+05,1.75E-06,0.0028
3.86E-01,3.86E+05,1.71E-06,0.0028
3.96E-01,3.96E+05,1.70E-06,0.0028
4.06E-01,4.06E+05,1.68E-06,0.0028
4.17E-01,4.17E+05,1.57E-06,0.0028
4.28E-01,4.28E+05,1.39E-06,0.0028
4.40E-01,4.40E+05,1.27E-06,0.0028
4.52E-01,4.52E+05,1.36E-06,0.0028
4.64E-01,4.64E+05,1.55E-06,0.0028
4.76E-01,4.76E+05,1.72E-06,0.0028
4.89E-01,4.89E+05,1.82E-06,0.0028
5.02E-01,5.02E+05,1.88E-06,0.0028
5.15E-01,5.15E+05,1.91E-06,0.0028
5.29E-01,5.29E+05,1.94E-06,0.0029
5.43E-01,5.43E+05,1.96E-06,0.0029
5.57E-01,5.57E+05,1.96E-06,0.0028
5.72E-01,5.72E+05,1.98E-06,0.0029
5.88E-01,5.88E+05,1.98E-06,0.0029
6.03E-01,6.03E+05,1.99E-06,0.0029
6.19E-01,6.19E+05,2.00E-06,0.0029
6.36E-01,6.36E+05,2.01E-06,0.0029
6.53E-01,6.53E+05,2.02E-06,0.0029
6.70E-01,6.70E+05,2.03E-06,0.0029
6.88E-01,6.88E+05,2.03E-06,0.0029
7.06E-01,7.06E+05,2.05E-06,0.0029
7.25E-01,7.25E+05,2.06E-06,0.0029
7.45E-01,7.45E+05,2.10E-06,0.0029
7.64E-01,7.64E+05,2.17E-06,0.0029
7.85E-01,7.85E+05,2.25E-06,0.0028
8.06E-01,8.06E+05,2.28E-06,0.0028
8.27E-01,8.27E+05,2.24E-06,0.0028
8.49E-01,8.49E+05,2.13E-06,0.0029
8.72E-01,8.72E+05,2.01E-06,0.0029
8.95E-01,8.95E+05,1.90E-06,0.0029
9.19E-01,9.19E+05,1.82E-06,0.0029
9.44E-01,9.44E+05,1.75E-06,0.0029
9.69E-01,9.69E+05,1.64E-06,0.0029
9.95E-01,9.95E+05,1.49E-06,0.0029
1.02E+00,1.02E+06,1.45E-06,0.0029
1.05E+00,1.05E+06,1.51E-06,0.0029
1.08E+00,1.08E+06,1.59E-06,0.0029
1.11E+00,1.11E+06,1.67E-06,0.0029
1.13E+00,1.13E+06,1.74E-06,0.0029
1.16E+00,1.16E+06,1.80E-06,0.0029
1.20E+00,1.20E+06,1.85E-06,0.0029
1.23E+00,1.23E+06,1.88E-06,0.0029
1.26E+00,1.26E+06,1.91E-06,0.0029
1.29E+00,1.29E+06,1.84E-06,0.0029
1.33E+00,1.33E+06,1.53E-06,0.0029
1.36E+00,1.36E+06,1.72E-06,0.0029
1.40E+00,1.40E+06,1.84E-06,0.0029
1.44E+00,1.44E+06,1.87E-06,0.0029
1.48E+00,1.48E+06,1.90E-06,0.0029
1.52E+00,1.52E+06,1.87E-06,0.0029
1.56E+00,1.56E+06,1.85E-06,0.0029
1.60E+00,1.60E+06,1.84E-06,0.0029
1.64E+00,1.64E+06,1.84E-06,0.0029
1.68E+00,1.68E+06,1.75E-06,0.0029
1.73E+00,1.73E+06,1.87E-06,0.0029
1.78E+00,1.78E+06,1.90E-06,0.0029
1.82E+00,1.82E+06,1.93E-06,0.0029
1.87E+00,1.87E+06,1.76E-06,0.0029
1.92E+00,1.92E+06,1.69E-06,0.0029
1.97E+00,1.97E+06,1.76E-06,0.0029
2.02E+00,2.02E+06,1.80E-06,0.0029
2.08E+00,2.08E+06,1.82E-06,0.0029
2.13E+00,2.13E+06,1.85E-06,0.0029
2.19E+00,2.19E+06,1.87E-06,0.0029
2.25E+00,2.25E+06,1.90E-06,0.0029
2.31E+00,2.31E+06,1.99E-06,0.0029
2.37E+00,2.37E+06,2.15E-06,0.0029
2.43E+00,2.43E+06,2.06E-06,0.0029
2.50E+00,2.50E+06,1.97E-06,0.0029
2.57E+00,2.57E+06,1.98E-06,0.0029
2.63E+00,2.63E+06,2.01E-06,0.0029
2.70E+00,2.70E+06,1.99E-06,0.0028
2.78E+00,2.78E+06,1.92E-06,0.0029
2.85E+00,2.85E+06,1.84E-06,0.0029
2.93E+00,2.93E+06,1.78E-06,0.0029
3.01E+00,3.01E+06,1.78E-06,0.0029
3.09E+00,3.09E+06,1.80E-06,0.0029
3.17E+00,3.17E+06,1.78E-06,0.0028
3.25E+00,3.25E+06,1.64E-06,0.0028
3.34E+00,3.34E+06,1.51E-06,0.0028
3.43E+00,3.43E+06,1.45E-06,0.0028
3.52E+00,3.52E+06,1.38E-06,0.0029
3.61E+00,3.61E+06,1.35E-06,0.0029
3.71E+00,3.71E+06,1.31E-06,0.0029
3.81E+00,3.81E+06,1.23E-06,0.0029
3.91E+00,3.91E+06,1.29E-06,0.0029
4.01E+00,4.01E+06,1.27E-06,0.0029
4.12E+00,4.12E+06,1.35E-06,0.0029
4.23E+00,4.23E+06,1.25E-06,0.0029
4.34E+00,4.34E+06,1.18E-06,0.0029
4.46E+00,4.46E+06,1.06E-06,0.003
4.58E+00,4.58E+06,1.07E-06,0.003
4.70E+00,4.70E+06,1.06E-06,0.003
4.83E+00,4.83E+06,1.06E-06,0.0031
4.96E+00,4.96E+06,9.52E-07,0.0031
5.09E+00,5.09E+06,9.22E-07,0.0032
5.22E+00,5.22E+06,7.81E-07,0.0033
5.36E+00,5.36E+06,7.98E-07,0.0033
5.51E+00,5.51E+06,7.51E-07,0.0034
5.65E+00,5.65E+06,6.80E-07,0.0034
5.80E+00,5.80E+06,6.17E-07,0.0035
5.96E+00,5.96E+06,5.90E-07,0.0036
6.12E+00,6.12E+06,5.67E-07,0.0037
6.28E+00,6.28E+06,5.49E-07,0.0038
6.45E+00,6.45E+06,4.93E-07,0.0039
6.62E+00,6.62E+06,4.91E-07,0.0041
6.80E+00,6.80E+06,4.35E-07,0.0042
6.98E+00,6.98E+06,4.09E-07,0.0044
7.16E+00,7.16E+06,3.81E-07,0.0045
7.36E+00,7.36E+06,3.27E-07,0.0047
7.55E+00,7.55E+06,3.15E-07,0.005
7.75E+00,7.75E+06,2.98E-07,0.0052
7.96E+00,7.96E+06,2.56E-07,0.0055
8.17E+00,8.17E+06,1.93E-07,0.0062
8.39E+00,8.39E+06,1.61E-07,0.0065
8.61E+00,8.61E+06,1.52E-07,0.0069
8.84E+00,8.84E+06,1.34E-07,0.0073
9.08E+00,9.08E+06,1.27E-07,0.0078
9.32E+00,9.32E+06,1.17E-07,0.0083
9.57E+00,9.57E+06,1.06E-07,0.0088
9.83E+00,9.83E+06,9.77E-08,0.0094
1.01E+01,1.01E+07,7.27E-08,0.0106
1.04E+01,1.04E+07,3.62E-08,0.0118
1.06E+01,1.06E+07,3.15E-08,0.0128
1.09E+01,1.09E+07,2.77E-08,0.0141
1.12E+01,1.12E+07,2.17E-08,0.0152
1.15E+01,1.15E+07,1.79E-08,0.0165
1.18E+01,1.18E+07,1.50E-08,0.0185
1.21E+01,1.21E+07,1.24E-08,0.0214
1.25E+01,1.25E+07,1.04E-08,0.0237
1.28E+01,1.28E+07,8.54E-09,0.0258
1.31E+01,1.31E+07,6.32E-09,0.0279
1.35E+01,1.35E+07,5.05E-09,0.0313
1.38E+01,1.38E+07,4.23E-09,0.035
1.42E+01,1.42E+07,2.95E-09,0.0426
1.46E+01,1.46E+07,2.50E-09,0.0464
1.50E+01,1.50E+07,2.02E-09,0.0501
1.54E+01,1.54E+07,1.47E-09,0.0567
1.58E+01,1.58E+07,1.19E-09,0.0681
1.62E+01,1.62E+07,8.87E-10,0.0759
1.66E+01,1.66E+07,6.53E-10,0.0896
1.71E+01,1.71E+07,5.39E-10,0.1005
1.75E+01,1.75E+07,3.72E-10,0.117
1.80E+01,1.80E+07,2.55E-10,0.1341
1.85E+01,1.85E+07,1.86E-10,0.1836
1.90E+01,1.90E+07,1.55E-10,0.1693
1.95E+01,1.95E+07,9.36E-11,0.2124
2.00E+01,2.00E+07,8.17E-11,0.2549
