output_filename,cubes,modr v L,core r cm,keff,keff unc,therm fis %
o_b8hcp-caseSC-c1000-r59_52-d2o96_8-v1200.o,1000.0,1200.0,59.52216,0.90403,0.00013,83.13
o_b8hcp-caseSC-c1000-r62_38-d2o96_8-v1400.o,1000.0,1400.0,62.37779,0.92739,0.00015,84.7
o_b8hcp-caseSC-c1000-r67_41-d2o96_8-v1800.o,1000.0,1800.0,67.41403,0.95647,0.00014,86.71
o_b8hcp-caseSC-c1000-r71_79-d2o96_8-v2200.o,1000.0,2200.0,71.79282,0.97103,0.00014,87.94
o_b8hcp-caseSC-c1000-r75_69-d2o96_8-v2600.o,1000.0,2600.0,75.69413,0.97725,0.00014,88.78
o_b8hcp-caseSC-c1000-r79_23-d2o96_8-v3000.o,1000.0,3000.0,79.23007,0.97812,0.00014,89.34
o_b8hcp-caseSC-c1000-r82_48-d2o96_8-v3400.o,1000.0,3400.0,82.47578,0.97574,0.00014,89.76
o_b8hcp-caseSC-c1000-r85_48-d2o96_8-v3800.o,1000.0,3800.0,85.48435,0.97107,0.0002,90.06
o_b8hcp-caseSC-c1000-r88_29-d2o96_8-v4200.o,1000.0,4200.0,88.29486,0.96507,0.00017,90.28
o_b8hcp-caseSC-c1100-r59_71-d2o96_8-v1200.o,1100.0,1200.0,59.70875,0.90531,0.00018,82.87
o_b8hcp-caseSC-c1100-r62_55-d2o96_8-v1400.o,1100.0,1400.0,62.54776,0.92979,0.00017,84.44
o_b8hcp-caseSC-c1100-r67_56-d2o96_8-v1800.o,1100.0,1800.0,67.55963,0.96003,0.00018,86.55
o_b8hcp-caseSC-c1100-r71_92-d2o96_8-v2200.o,1100.0,2200.0,71.92125,0.97529,0.0002,87.83
o_b8hcp-caseSC-c1100-r75_81-d2o96_8-v2600.o,1100.0,2600.0,75.8097,0.98256,0.00017,88.69
o_b8hcp-caseSC-c1100-r79_34-d2o96_8-v3000.o,1100.0,3000.0,79.33557,0.98369,0.00017,89.29
o_b8hcp-caseSC-c1100-r82_57-d2o96_8-v3400.o,1100.0,3400.0,82.57315,0.98228,0.00019,89.71
o_b8hcp-caseSC-c1100-r85_57-d2o96_8-v3800.o,1100.0,3800.0,85.575,0.9778,0.00017,90.02
o_b8hcp-caseSC-c1100-r88_38-d2o96_8-v4200.o,1100.0,4200.0,88.37984,0.97204,0.00017,90.24
o_b8hcp-caseSC-c1150-r85_62-d2o96_8-v3800.o,1150.0,3800.0,85.62025,0.9829,0.00018,89.97
o_b8hcp-caseSC-c1150-r88_42-d2o96_8-v4200.o,1150.0,4200.0,88.42227,0.9778,0.00016,90.2
o_b8hcp-caseSC-c1200-r59_89-d2o96_8-v1200.o,1200.0,1200.0,59.89418,0.90163,0.00018,82.26
o_b8hcp-caseSC-c1200-r62_72-d2o96_8-v1400.o,1200.0,1400.0,62.71681,0.92713,0.00019,83.95
o_b8hcp-caseSC-c1200-r67_70-d2o96_8-v1800.o,1200.0,1800.0,67.70461,0.96037,0.00018,86.18
o_b8hcp-caseSC-c1200-r72_05-d2o96_8-v2200.o,1200.0,2200.0,72.04923,0.97862,0.00019,87.57
o_b8hcp-caseSC-c1200-r75_92-d2o96_8-v2600.o,1200.0,2600.0,75.92491,0.98734,0.00017,88.49
o_b8hcp-caseSC-c1200-r79_44-d2o96_8-v3000.o,1200.0,3000.0,79.44079,0.99014,0.00019,89.11
o_b8hcp-caseSC-c1200-r82_67-d2o96_8-v3400.o,1200.0,3400.0,82.6703,0.98962,0.00017,89.57
o_b8hcp-caseSC-c1200-r85_67-d2o96_8-v3800.o,1200.0,3800.0,85.66546,0.98645,0.00016,89.92
o_b8hcp-caseSC-c1200-r88_46-d2o96_8-v4200.o,1200.0,4200.0,88.46466,0.98212,0.00018,90.17
o_b8hcp-caseSC-c1250-r59_99-d2o96_8-v1200.o,1250.0,1200.0,59.98647,0.8932,0.00018,81.58
o_b8hcp-caseSC-c1250-r62_80-d2o96_8-v1400.o,1250.0,1400.0,62.80099,0.92113,0.00019,83.38
o_b8hcp-caseSC-c1250-r67_78-d2o96_8-v1800.o,1250.0,1800.0,67.77687,0.9566,0.00018,85.75
o_b8hcp-caseSC-c1250-r72_11-d2o96_8-v2200.o,1250.0,2200.0,72.11304,0.9767,0.00018,87.24
o_b8hcp-caseSC-c1250-r75_98-d2o96_8-v2600.o,1250.0,2600.0,75.98238,0.98761,0.00017,88.21
o_b8hcp-caseSC-c1250-r79_49-d2o96_8-v3000.o,1250.0,3000.0,79.4933,0.99225,0.00021,88.9
o_b8hcp-caseSC-c1250-r82_72-d2o96_8-v3400.o,1250.0,3400.0,82.71878,0.99313,0.00017,89.41
o_b8hcp-caseSC-c1250-r85_71-d2o96_8-v3800.o,1250.0,3800.0,85.71062,0.99164,0.00018,89.78
o_b8hcp-caseSC-c1250-r88_51-d2o96_8-v4200.o,1250.0,4200.0,88.507,0.98795,0.00016,90.06
o_b8hcp-caseSC-c1300-r60_08-d2o96_8-v1200.o,1300.0,1200.0,60.07847,0.88942,0.0002,81.17
o_b8hcp-caseSC-c1300-r62_88-d2o96_8-v1400.o,1300.0,1400.0,62.88495,0.91754,0.00019,83.03
o_b8hcp-caseSC-c1300-r67_85-d2o96_8-v1800.o,1300.0,1800.0,67.84897,0.95475,0.00018,85.49
o_b8hcp-caseSC-c1300-r72_18-d2o96_8-v2200.o,1300.0,2200.0,72.17675,0.97659,0.00018,87.03
o_b8hcp-caseSC-c1300-r76_04-d2o96_8-v2600.o,1300.0,2600.0,76.03977,0.98841,0.00018,88.04
o_b8hcp-caseSC-c1300-r79_55-d2o96_8-v3000.o,1300.0,3000.0,79.54573,0.9943,0.00019,88.77
o_b8hcp-caseSC-c1300-r82_77-d2o96_8-v3400.o,1300.0,3400.0,82.76721,0.99655,0.00016,89.31
o_b8hcp-caseSC-c1300-r85_76-d2o96_8-v3800.o,1300.0,3800.0,85.75573,0.9951,0.00017,89.7
o_b8hcp-caseSC-c1300-r88_55-d2o96_8-v4200.o,1300.0,4200.0,88.54931,0.99254,0.00017,90.0
o_b8hcp-caseSC-c1350-r60_17-d2o96_8-v1200.o,1350.0,1200.0,60.1702,0.881,0.00018,80.54
o_b8hcp-caseSC-c1350-r62_97-d2o96_8-v1400.o,1350.0,1400.0,62.96868,0.91081,0.0002,82.48
o_b8hcp-caseSC-c1350-r67_92-d2o96_8-v1800.o,1350.0,1800.0,67.92092,0.9502,0.00022,85.07
o_b8hcp-caseSC-c1350-r72_24-d2o96_8-v2200.o,1350.0,2200.0,72.24034,0.97371,0.00017,86.71
o_b8hcp-caseSC-c1350-r76_10-d2o96_8-v2600.o,1350.0,2600.0,76.09707,0.98752,0.00019,87.8
o_b8hcp-caseSC-c1350-r79_60-d2o96_8-v3000.o,1350.0,3000.0,79.5981,0.99501,0.00021,88.57
o_b8hcp-caseSC-c1350-r82_82-d2o96_8-v3400.o,1350.0,3400.0,82.81559,0.99782,0.00019,89.11
o_b8hcp-caseSC-c1350-r85_80-d2o96_8-v3800.o,1350.0,3800.0,85.80079,0.99785,0.00018,89.54
o_b8hcp-caseSC-c1350-r88_59-d2o96_8-v4200.o,1350.0,4200.0,88.59158,0.9966,0.0002,89.87
o_b8hcp-caseSC-c1400-r60_26-d2o96_8-v1200.o,1400.0,1200.0,60.26164,0.85855,0.00018,78.97
o_b8hcp-caseSC-c1400-r63_05-d2o96_8-v1400.o,1400.0,1400.0,63.0522,0.8907,0.00018,81.14
o_b8hcp-caseSC-c1400-r67_99-d2o96_8-v1800.o,1400.0,1800.0,67.99272,0.93544,0.00019,84.07
o_b8hcp-caseSC-c1400-r72_30-d2o96_8-v2200.o,1400.0,2200.0,72.30382,0.96297,0.00018,85.88
o_b8hcp-caseSC-c1400-r76_15-d2o96_8-v2600.o,1400.0,2600.0,76.15429,0.98032,0.00018,87.11
o_b8hcp-caseSC-c1400-r79_65-d2o96_8-v3000.o,1400.0,3000.0,79.6504,0.99111,0.0002,87.98
o_b8hcp-caseSC-c1400-r82_86-d2o96_8-v3400.o,1400.0,3400.0,82.8639,0.99709,0.00015,88.64
o_b8hcp-caseSC-c1400-r85_85-d2o96_8-v3800.o,1400.0,3800.0,85.84581,1.00013,0.00017,89.14
o_b8hcp-caseSC-c1400-r88_63-d2o96_8-v4200.o,1400.0,4200.0,88.63381,1.0,0.00017,89.53
o_b8hcp-caseSC-c1450-r60_35-d2o96_8-v1200.o,1450.0,1200.0,60.35281,0.86083,0.00022,78.94
o_b8hcp-caseSC-c1450-r63_14-d2o96_8-v1400.o,1450.0,1400.0,63.13549,0.89277,0.0002,81.11
o_b8hcp-caseSC-c1450-r68_06-d2o96_8-v1800.o,1450.0,1800.0,68.06437,0.9373,0.00022,84.02
o_b8hcp-caseSC-c1450-r72_37-d2o96_8-v2200.o,1450.0,2200.0,72.36719,0.9651,0.0002,85.86
o_b8hcp-caseSC-c1450-r76_21-d2o96_8-v2600.o,1450.0,2600.0,76.21142,0.98334,0.0002,87.13
o_b8hcp-caseSC-c1450-r79_70-d2o96_8-v3000.o,1450.0,3000.0,79.70263,0.99353,0.00018,87.99
o_b8hcp-caseSC-c1450-r82_91-d2o96_8-v3400.o,1450.0,3400.0,82.91217,0.99966,0.00018,88.66
o_b8hcp-caseSC-c1450-r85_89-d2o96_8-v3800.o,1450.0,3800.0,85.89078,1.00242,0.00017,89.15
o_b8hcp-caseSC-c1450-r88_68-d2o96_8-v4200.o,1450.0,4200.0,88.67599,1.00273,0.0002,89.54
o_b8hcp-caseSC-c1500-r60_44-d2o96_8-v1200.o,1500.0,1200.0,60.4437,0.85547,0.00017,78.45
o_b8hcp-caseSC-c1500-r63_22-d2o96_8-v1400.o,1500.0,1400.0,63.21856,0.88811,0.00017,80.71
o_b8hcp-caseSC-c1500-r68_14-d2o96_8-v1800.o,1500.0,1800.0,68.13586,0.93419,0.00017,83.72
o_b8hcp-caseSC-c1500-r72_43-d2o96_8-v2200.o,1500.0,2200.0,72.43045,0.9632,0.0002,85.62
o_b8hcp-caseSC-c1500-r76_27-d2o96_8-v2600.o,1500.0,2600.0,76.26846,0.98196,0.00017,86.9
o_b8hcp-caseSC-c1500-r79_75-d2o96_8-v3000.o,1500.0,3000.0,79.75479,0.993,0.00019,87.82
o_b8hcp-caseSC-c1500-r82_96-d2o96_8-v3400.o,1500.0,3400.0,82.96037,1.00022,0.00017,88.51
o_b8hcp-caseSC-c1500-r85_94-d2o96_8-v3800.o,1500.0,3800.0,85.9357,1.00377,0.0002,89.05
o_b8hcp-caseSC-c1500-r88_72-d2o96_8-v4200.o,1500.0,4200.0,88.71814,1.00511,0.00016,89.43
o_b8hcp-caseSC-c1550-r60_53-d2o96_8-v1200.o,1550.0,1200.0,60.53432,0.84307,0.00019,77.52
o_b8hcp-caseSC-c1550-r63_30-d2o96_8-v1400.o,1550.0,1400.0,63.30142,0.87719,0.00018,79.86
o_b8hcp-caseSC-c1550-r68_21-d2o96_8-v1800.o,1550.0,1800.0,68.20721,0.92495,0.00019,83.06
o_b8hcp-caseSC-c1550-r72_49-d2o96_8-v2200.o,1550.0,2200.0,72.4936,0.957,0.00023,85.09
o_b8hcp-caseSC-c1550-r76_33-d2o96_8-v2600.o,1550.0,2600.0,76.32542,0.97768,0.00019,86.46
o_b8hcp-caseSC-c1550-r79_81-d2o96_8-v3000.o,1550.0,3000.0,79.80688,0.9906,0.00017,87.47
o_b8hcp-caseSC-c1550-r83_01-d2o96_8-v3400.o,1550.0,3400.0,83.00852,0.99926,0.0002,88.21
o_b8hcp-caseSC-c1550-r85_98-d2o96_8-v3800.o,1550.0,3800.0,85.98057,1.00362,0.00016,88.78
o_b8hcp-caseSC-c1550-r88_76-d2o96_8-v4200.o,1550.0,4200.0,88.76024,1.00653,0.00018,89.22
o_b8hcp-caseSC-c1600-r60_62-d2o96_8-v1200.o,1600.0,1200.0,60.62467,0.84217,0.00017,77.34
o_b8hcp-caseSC-c1600-r63_38-d2o96_8-v1400.o,1600.0,1400.0,63.38406,0.87626,0.00016,79.71
o_b8hcp-caseSC-c1600-r68_28-d2o96_8-v1800.o,1600.0,1800.0,68.27841,0.92548,0.00018,82.95
o_b8hcp-caseSC-c1600-r72_56-d2o96_8-v2200.o,1600.0,2200.0,72.55663,0.95727,0.00018,84.98
o_b8hcp-caseSC-c1600-r76_38-d2o96_8-v2600.o,1600.0,2600.0,76.3823,0.97843,0.00019,86.41
o_b8hcp-caseSC-c1600-r79_86-d2o96_8-v3000.o,1600.0,3000.0,79.85891,0.99185,0.00018,87.4
o_b8hcp-caseSC-c1600-r83_06-d2o96_8-v3400.o,1600.0,3400.0,83.05661,1.00045,0.00022,88.15
o_b8hcp-caseSC-c1600-r86_03-d2o96_8-v3800.o,1600.0,3800.0,86.0254,1.00613,0.00019,88.73
o_b8hcp-caseSC-c1600-r88_80-d2o96_8-v4200.o,1600.0,4200.0,88.80231,1.00831,0.00017,89.17
o_b8hcp-caseSC-c1650-r60_71-d2o96_8-v1200.o,1650.0,1200.0,60.71475,0.84446,0.0002,77.41
o_b8hcp-caseSC-c1650-r63_47-d2o96_8-v1400.o,1650.0,1400.0,63.46648,0.87863,0.00018,79.78
o_b8hcp-caseSC-c1650-r68_35-d2o96_8-v1800.o,1650.0,1800.0,68.34946,0.92738,0.00017,82.98
o_b8hcp-caseSC-c1650-r72_62-d2o96_8-v2200.o,1650.0,2200.0,72.61956,0.95908,0.00015,85.02
o_b8hcp-caseSC-c1650-r76_44-d2o96_8-v2600.o,1650.0,2600.0,76.43909,0.98015,0.00023,86.41
o_b8hcp-caseSC-c1650-r79_91-d2o96_8-v3000.o,1650.0,3000.0,79.91087,0.99357,0.00018,87.43
o_b8hcp-caseSC-c1650-r83_10-d2o96_8-v3400.o,1650.0,3400.0,83.10465,1.00213,0.0002,88.16
o_b8hcp-caseSC-c1650-r86_07-d2o96_8-v3800.o,1650.0,3800.0,86.07018,1.00767,0.00019,88.73
o_b8hcp-caseSC-c1650-r88_84-d2o96_8-v4200.o,1650.0,4200.0,88.84434,1.01021,0.0002,89.19
o_b8hcp-caseSC-c1700-r60_80-d2o96_8-v1200.o,1700.0,1200.0,60.80457,0.84559,0.00014,77.36
o_b8hcp-caseSC-c1700-r63_55-d2o96_8-v1400.o,1700.0,1400.0,63.54869,0.8796,0.00013,79.76
o_b8hcp-caseSC-c1700-r68_42-d2o96_8-v1800.o,1700.0,1800.0,68.42036,0.92866,0.00015,82.97
o_b8hcp-caseSC-c1700-r72_68-d2o96_8-v2200.o,1700.0,2200.0,72.68238,0.96048,0.00011,85.01
o_b8hcp-caseSC-c1700-r76_50-d2o96_8-v2600.o,1700.0,2600.0,76.49579,0.98119,0.00013,86.41
o_b8hcp-caseSC-c1700-r79_96-d2o96_8-v3000.o,1700.0,3000.0,79.96276,0.99493,0.00012,87.42
o_b8hcp-caseSC-c1700-r83_15-d2o96_8-v3400.o,1700.0,3400.0,83.15263,1.00364,0.00012,88.17
o_b8hcp-caseSC-c1700-r86_11-d2o96_8-v3800.o,1700.0,3800.0,86.11492,1.0088,0.00014,88.74
o_b8hcp-caseSC-c1700-r88_89-d2o96_8-v4200.o,1700.0,4200.0,88.88632,1.01131,0.00016,89.19
o_b8hcp-caseSC-c1750-r88_93-d2o96_8-v4200.o,1750.0,4200.0,88.92827,1.01236,0.00013,89.19
o_b8hcp-caseSC-c1800-r60_98-d2o96_8-v1200.o,1800.0,1200.0,60.9834,0.84662,0.00011,77.18
o_b8hcp-caseSC-c1800-r63_71-d2o96_8-v1400.o,1800.0,1400.0,63.71248,0.88089,0.00013,79.63
o_b8hcp-caseSC-c1800-r68_56-d2o96_8-v1800.o,1800.0,1800.0,68.56172,0.93029,0.00012,82.88
o_b8hcp-caseSC-c1800-r72_81-d2o96_8-v2200.o,1800.0,2200.0,72.8077,0.9622,0.00013,84.94
o_b8hcp-caseSC-c1800-r76_61-d2o96_8-v2600.o,1800.0,2600.0,76.60895,0.98345,0.00011,86.36
o_b8hcp-caseSC-c1800-r80_07-d2o96_8-v3000.o,1800.0,3000.0,80.06634,0.9974,0.00012,87.38
o_b8hcp-caseSC-c1800-r83_25-d2o96_8-v3400.o,1800.0,3400.0,83.24843,1.00607,0.00012,88.13
o_b8hcp-caseSC-c1800-r86_20-d2o96_8-v3800.o,1800.0,3800.0,86.20425,1.01128,0.00011,88.72
o_b8hcp-caseSC-c1800-r88_97-d2o96_8-v4200.o,1800.0,4200.0,88.97018,1.01367,0.00011,89.16
o_b8hcp-caseSC-c1900-r61_16-d2o96_8-v1200.o,1900.0,1200.0,61.1612,0.81647,0.00012,74.92
o_b8hcp-caseSC-c1900-r63_88-d2o96_8-v1400.o,1900.0,1400.0,63.87543,0.85317,0.00014,77.65
o_b8hcp-caseSC-c1900-r68_70-d2o96_8-v1800.o,1900.0,1800.0,68.70251,0.90717,0.00013,81.3
